"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"A",0.00106092755380418,0.0950070433557677,0.0743397181672433,0.0974214556015137,0.0241891647037507,0.118856781269774,0.0933996192088005,0.0417251051893408,0.0509808821691866,0.115281899109792,0.000307834385100816,0.00154225786551511,0.0630769230769231,0.0395614871306006,0.0091254752851711,0.0662840746054519,0.00897277227722772,0.035512256442489,0.257817485641353,0.0339920948616601,0.00435471100554236,0.152789005658852,0.188709677419355,0.0908102229472539,0.0011154489682097,0.0204342273307791,0.1354096140826,0.0116696588868941
"B",0.000227341618672325,0.0727030834246361,0.0639608471858915,0.152600545630555,0.0732016669686537,0.0753005695001055,0.0816585572244553,0.0389200561009818,0.0496063976008997,0.126112759643917,0.000769585962752039,0.0013880320789636,0.0538461538461538,0.00571973307912297,0.00202788339670469,0.0780487804878049,0.00897277227722772,0.0760527969830295,0.0944479897894065,0.0300395256916996,0.00554235946159937,0.149151172190784,0.195161290322581,0.132680804785209,0.000557724484104852,0.0300127713920817,0.034529451591063,0.00448833034111311
"C",0.00287966050318278,0.166144936609798,0.114842629313982,0.0807005192290768,0.0378691791991303,0.202699852351824,0.0885339538819547,0.0391538101916784,0.0541047107334749,0.196290801186944,0.000615668770201632,0.00169648365206663,0.0716483516483516,0.0476644423260248,0.00304182509505703,0.0809182209469154,0.010519801980198,0.284098051539912,0.27791959157626,0.0438735177865613,0.00752177355502771,0.149151172190784,0.149462365591398,0.141381185426862,0,0.0344827586206897,0.228165199729181,0.00897666068222621
"D",0.00325856320096999,0.0134606354672093,0.341405788541051,0.22590865088445,0.117503170864287,0.153975954439992,0.1002750158663,0.046166432912576,0.0638510558540547,0.140652818991098,0.00400184700631061,0.00848241826033313,0.0912087912087912,0.00357483317445186,0.0306717363751584,0.012051649928264,0.0160891089108911,0.027027027027027,0.00127632418634333,0.234782608695652,0.00316706254948535,0.165723524656427,0.131182795698925,0.305057096247961,0.000557724484104852,0.0325670498084291,0.030467163168585,0.0215439856373429
"E",0.00318278266141255,0.150101737361089,0.0333305206311704,0.120038722168441,0.0712085522739627,0.0539970470364902,0.1044002538608,0.0520102851799907,0.0628514307134824,0.119436201780415,0.00138525473295367,0.00323874151758174,0.0813186813186813,0.680171591992374,0.0415716096324461,0.122525107604017,0.0126856435643564,0.349465744814582,0.349712827058073,0.150592885375494,0.170625494853523,0.169361358124495,0.149462365591398,0.0244698205546493,0.000557724484104852,0.0383141762452107,0.244414353419093,0.00807899461400359
"F",0.00386480751742952,0.00359993739239318,0.126740359463336,0.191850743641644,0.333846711360754,0.0391267665049568,0.136238629151682,0.0480364656381487,0.0828439335249282,0.0817507418397626,0.00631060489456672,0.0115669339913634,0.100659340659341,0.116539561487131,0.0291508238276299,0.0106169296987088,0.015779702970297,0.085166561910748,0.00319081046585833,0.364426877470356,0.735154394299287,0.168552950687146,0.147849462365591,0.0190320826536161,0.00167317345231456,0.0306513409961686,0.044008124576845,0.0161579892280072
"G_1",0.401485298575326,0,0,0,0,0,0,0,0,0,0.000153917192550408,0.00154225786551511,0,0,0,0.000286944045911047,0,0,0,0,0,0,0,0,0.443390964863357,0.00191570881226054,0.037237643872715,0
"G_2",0.491209457411337,0,0,0,0,0,0,0,0.000124953142571536,0,0,0.000154225786551511,0,0,0,0,0,0,0,0,0,0,0,0,0.52760736196319,0,0.032498307379824,0
"H",0.0710063655653228,0,0,0,0,0,0,0.000467508181393174,0.00187429713857304,0.000148367952522255,0.923349238109897,0.941394201110426,0.531208791208791,0,0.000760456273764259,0.000860832137733142,0,0,0,0,0,0.021018593371059,0.0381720430107527,0,0.00948131622978249,0.721583652618135,0.039268788083954,0
"I",0.0143225219763565,0.00297386132415088,0,0,0,0,0.00190395599746139,0.64726507713885,0.341122079220292,0,0.0490995844235801,0.0263726095003085,0.00263736263736264,0,0.318377693282636,0.0459110473457676,0.849938118811881,0,0,0.00553359683794466,0,0.00970088924818108,0,0,0.00669269380925823,0.061941251596424,0.016926201760325,0.702872531418312
"J",0.00538041830857836,0.0163562372828299,0,0.000528029569655901,0,0.00527314912465725,0.367886608842818,0.0766713417484806,0.267524678245658,0.128338278931751,0.00846544559027243,0.000771128932757557,0.0043956043956044,0.00119161105815062,0.243092522179975,0.0172166427546628,0.0649752475247525,0.000628535512256443,0.00255264837268666,0.00948616600790514,0.000791765637371338,0.0145513338722716,0,0.00978792822185971,0.00780814277746793,0.0153256704980843,0.15572105619499,0.226211849192101
"L_1",0.00106092755380418,0.232430740334951,0.117542823390431,0.0632755434304321,0.173944555173039,0.178337903395908,0.0114237359847684,0.0054932211313698,0.012120454829439,0.0470326409495549,0.00354009542865938,0.000925354719309068,0,0.0529075309818875,0.153358681875792,0.277187948350072,0.00649752475247525,0.071024512884978,0.00574345883854499,0.0691699604743083,0.0395882818685669,0,0,0.126699293094073,0,0.00638569604086846,0.000677048070412999,0
"L_2",0.00106092755380418,0.247221787447175,0.127837313306894,0.0676757898442313,0.168236999456423,0.172431976376292,0.0142796699809604,0.00409069658719028,0.0129951268274397,0.0449554896142433,0.0020009235031553,0.000925354719309068,0,0.0526692087702574,0.168821292775665,0.288091822094692,0.00556930693069307,0.071024512884978,0.00733886407147415,0.058102766798419,0.0332541567695962,0,0,0.150081566068515,0.000557724484104852,0.00638569604086846,0.000677048070412999,0
